category_id|code|name|description|date_added|added_by|updated_date|updated_by
1|MEDC|MEDICAL Claim Category|prescriptive drugs, over the counter drugs, vitamins, supplements, herbal supplements, vaccinations/vaccines, baby milk formula, eye drops, dental procedures, dental braces & retainers, dentures, dental accessories, prescriptive glasses & shades, prescriptive contact lenses, aesthetic contact lenses, glass frames, laboratory tests|2018-08-21 18:09:13.187884+08|SYSTEM||
2|APPC|APPLIANCE Claim Category|Refrigerator, Aircon, Electric Fan, TV, DVD/VCD/Media Players, Radio component, radio speakers, pc speakers, cordless phones, landline, washing machine, gas range/stove, oven/oven toaster, microwave, lights & lamps, air humidifier, electronic sterilizer, electric shaver, electric toothbrush, vacuum cleaner, baby monitor|2018-08-21 18:09:13.187884+08|SYSTEM||
3|BEAC|Beauty & Wellness Claim Category|Gym Membership, Spa visits, Yoga/pilates/other wellness classes, massage, marathon fees, spiritual retreat fees, personal trainers, beauty and grooming expenses, etc.|2018-08-21 18:09:13.187884+08|SYSTEM||
4|FOODC|FOOD, RESTAURANT & GROCERIES Claim Category|purchases of people to maintain life and growth.|2018-08-21 18:09:13.187884+08|SYSTEM||
5|FASC|FASHION Claim Category|purchases of clothing, shoes, bags, and other fashion accesories.|2018-08-21 18:09:13.187884+08|SYSTEM||
6|ENTC|ENTERTAINMENT Claim Category|cinema tickets, concerts, musical instruments, themed parks, basketball events, etc.|2018-08-21 18:09:13.187884+08|SYSTEM||
7|GADC|GADGETS Claim Category|PC, Laptops, Printer & Ink, USB, Portable WIFI, Keyboard, Mouse, PC Speakers, Earphones, Headset, Monitor, Scanner, Game consoles, MP3 players, Cellphone accessories, Laptop Adaptors, Laptop skins, Projectors, Routers, Modem, Tablets, PC cables, Rechargeable batteries, iPod Accessories, External hard drive, camera, etc.|2018-08-21 18:09:13.187884+08|SYSTEM||
8|TRANC|TRANSPORTATION Claim Category|Inter-city transport, parking fees, gasoline, toll fee, e pass payments, commuters cards (MRT/LRT), Car accessories and repairs.|2018-08-21 18:09:13.187884+08|SYSTEM||
9|TRVLC|TRAVEL & LEISURE Claim Category|Airfare, Boat/Ship Fares, Hotel Accomodations, Travel Packages, Travel Taxes, Travel Agency Fees, Passport Applications/Renewal fees, Travel luggage (additional check-in) NOTE: We will allow online receipts that includes the name of immediate family members.|2018-08-21 18:09:13.187884+08|SYSTEM||
10|CONNC|CONNECTIVITY Claim Category|Telephone Bills and Phone Plans NOTE: There will be a cut off in the submission of receipts; receipts paid within the quarter can be claimed within the quarter of the payout schedules.|2018-08-21 18:09:13.187884+08|SYSTEM||
11|SOFTC|Applications and Software Claim Category|refers to installers, etc.|2018-08-21 18:09:13.187884+08|SYSTEM||
12|HOMEC|HOME IMROVEMENTS & FURNITURES Claim Category|refers of the maintenance and enhancements of your homes.|2018-08-21 18:09:13.187884+08|SYSTEM||
13|LIFEC|LIFE INSURANCE Claim Category|refers to your life insurances purchases. NOTE: We will allow insurances for immediate family members.|2018-08-21 18:09:13.187884+08|SYSTEM||
14|BOOKC|Books and Subscriptions Claim Category|any books and subscriptions are acceptable. NOTE: We will allow books purchased for immediate family members such as school books.|2018-08-21 18:09:13.187884+08|SYSTEM||
15|OFCSUPC|OFFICE SUPPLIES Claim Category|refers to writing implements, office consumables, notebooks, rulers, calculators, etc.|2018-08-21 18:09:13.187884+08|SYSTEM||
16|TRAINC|TRAINING & TUITION Claim Category|refers to tuition fees for personal and professional developments. Seminar fees and counseling sessions also included. NOTE: We will allow tuition fees for immediate family members.|2018-08-21 18:09:13.187884+08|SYSTEM||
17|CSRC|Corporate Social Responsibility Claim Category|If FC's are unclaimed then points will be added in our CSR funds for future CSR events.|2018-08-21 18:09:13.187884+08|SYSTEM||
18|LVC|LEAVE BUY BACK|All leave buy back applications will only be til June 22, 2018 for this payout and will resume leave back application after the flexben payout.|2018-08-21 18:09:13.187884+08|SYSTEM||
